id,name,fullname,type,is_category,internal_type,external
554,save,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersNewCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_4.save,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
555,controller_PARAM_2_3,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersListCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_3,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
556,addCustomer,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersListCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_3.addCustomer,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
557,confirmCtrl,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersListCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_3.confirmCtrl,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
558,$scope_$on_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersListCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_3.$scope_$on_PARAM_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
559,deleteCustomer,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersListCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_3.deleteCustomer,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
560,beforeSelectionChange,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersListCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_3.beforeSelectionChange,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
561,focusCustomer,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersListCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_3.focusCustomer,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
562,controller_PARAM_2_4,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersDetailsCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_4,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
563,$scope_$on_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersDetailsCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_4.$scope_$on_PARAM_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
564,setForm,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersDetailsCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_4.setForm,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
565,checkName,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersDetailsCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_4.checkName,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
566,saveCustomer,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersDetailsCtrl.js/CAST_HTML5_JavaScript_SourceCode.controller_PARAM_2_4.saveCustomer,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
