caller_id,called_id,link_type
8334,8375,Call
8334,8406,Call
8334,8419,Call
8335,1334,Call
8335,8375,Call
8335,8405,Call
8335,8406,Call
8336,1304,Call
8336,1421,Call
8336,8375,Call
8336,8390,Call
8336,8391,Call
8338,1320,Call
8338,8370,Call
8338,8374,Call
8338,8375,Call
8364,8363,Call
8366,8364,Call
8366,8365,Call
8368,1320,Call
8368,8366,Call
8369,1320,Call
8369,8366,Call
8369,8368,Call
8370,8368,Call
8370,8369,Call
8377,8376,Call
8379,8377,Call
8381,1304,Call
8381,8379,Call
8381,8380,Call
8383,8379,Call
8383,8382,Call
8385,8379,Call
8385,8381,Call
8385,8384,Call
8387,8379,Call
8387,8386,Call
8389,8383,Call
8389,8385,Call
8389,8387,Call
8389,8388,Call
8390,8389,Call
8395,8394,Call
8396,8395,Call
8398,8396,Call
8398,8397,Call
8400,8396,Call
8400,8399,Call
8402,8396,Call
8402,8401,Call
8404,8398,Call
8404,8400,Call
8404,8402,Call
8404,8403,Call
8405,8404,Call
8408,8407,Call
8410,8408,Call
8412,8410,Call
8412,8411,Call
8414,8410,Call
8414,8413,Call
8416,8410,Call
8416,8415,Call
8418,8412,Call
8418,8414,Call
8418,8416,Call
8418,8417,Call
8419,8418,Call
8421,8420,Call
8423,8421,Call
8425,8423,Call
8425,8424,Call
8427,8423,Call
8427,8426,Call
8429,8423,Call
8429,8428,Call
8431,8425,Call
8431,8427,Call
8431,8429,Call
8431,8430,Call
8432,8431,Call
8434,8433,Call
8436,8434,Call
8438,8436,Call
8438,8437,Call
8440,8436,Call
8440,8439,Call
8442,8436,Call
8442,8441,Call
8444,8438,Call
8444,8440,Call
8444,8442,Call
8444,8443,Call
8445,8444,Call
8447,8446,Call
8449,8447,Call
8451,8449,Call
8451,8450,Call
8455,8449,Call
8455,8453,Call
8455,8454,Call
8457,8449,Call
8457,8456,Call
8459,8451,Call
8459,8455,Call
8459,8457,Call
8459,8458,Call
8460,8459,Call
8462,8461,Call
8464,8462,Call
8466,8464,Call
8466,8465,Call
8470,8464,Call
8470,8468,Call
8470,8469,Call
8472,8464,Call
8472,8471,Call
8474,8466,Call
8474,8470,Call
8474,8472,Call
8474,8473,Call
8475,8474,Call
8477,8476,Call
8479,8477,Call
8481,8479,Call
8481,8480,Call
8485,8479,Call
8485,8483,Call
8485,8484,Call
8487,8479,Call
8487,8486,Call
8489,8481,Call
8489,8485,Call
8489,8487,Call
8489,8488,Call
8490,8489,Call
8492,8491,Call
8494,8492,Call
8496,8494,Call
8496,8495,Call
8500,8494,Call
8500,8498,Call
8500,8499,Call
8502,8494,Call
8502,8501,Call
8504,8496,Call
8504,8500,Call
8504,8502,Call
8504,8503,Call
8505,8504,Call
8507,8506,Call
8509,8507,Call
8511,8509,Call
8511,8510,Call
8513,8509,Call
8513,8512,Call
8515,8509,Call
8515,8514,Call
8517,8511,Call
8517,8513,Call
8517,8515,Call
8517,8516,Call
8518,8517,Call
8520,8519,Call
8522,8520,Call
8524,8522,Call
8524,8523,Call
8526,8522,Call
8526,8525,Call
8528,8522,Call
8528,8527,Call
8530,8524,Call
8530,8526,Call
8530,8528,Call
8530,8529,Call
8531,8530,Call
8533,8532,Call
8535,8533,Call
8537,8535,Call
8537,8536,Call
8539,8535,Call
8539,8538,Call
8541,8535,Call
8541,8540,Call
8543,8537,Call
8543,8539,Call
8543,8541,Call
8543,8542,Call
8544,8543,Call
8546,8545,Call
8548,8546,Call
8550,8548,Call
8550,8549,Call
8552,8548,Call
8552,8551,Call
8554,8548,Call
8554,8553,Call
8556,8550,Call
8556,8552,Call
8556,8554,Call
8556,8555,Call
8557,8556,Call
8559,8558,Call
8561,8559,Call
8563,8561,Call
8563,8562,Call
8565,8561,Call
8565,8564,Call
8567,8561,Call
8567,8566,Call
